Beschäftigtenindex;Verkehr und Lagerei;1,6;1,1;0,4;-0,1;-0,1;-0,8;-1,2;-1,1;-1,5;-1,8;-1,8;-1,8|
Beschäftigtenindex;Information und Kommunikation;2,2;3;2,2;4,6;5,1;5,3;4,6;3,5;3,5;3,6;3,7;4,6|
Beschäftigtenindex;Grundstücks- und Wohnungswesen;1,1;1,2;1,1;1,5;1,4;1,1;1;0,6;0,1;0,1;0;0,2|
Beschäftigtenindex;Freiberufliche,wiss.u.techn.Dienstleistg.;2,6;3;3,1;3,2;3,1;2,9;3,1;3,1;3,7;4,1;4,2;4,2|
Beschäftigtenindex;Sonst.wirtschaftl.Dienstleistg.;0,9;1,2;0,9;0,4;0,9;0,3;-0,7;0;-0,9;-0,5;-0,7;-0,4|
Beschäftigtenindex;Dienstleistungen zusammen;1,6;1,7;1,3;1,2;1,5;1;0,5;0,6;0,3;0,4;0,4;0,6|
Beschäftigtenindex;Dienstleistungen zusammen ohne L;1,6;1,7;1,3;1,2;1,5;1;0,5;0,6;0,3;0,5;0,4;0,7|
Umsatzindex nominal;Verkehr und Lagerei;10,6;15,5;10,1;13,9;31,7;19;16,3;21,1;24,1;11;18,3;12,9|
Umsatzindex nominal;Information und Kommunikation;6,6;10;6,4;10,6;10,5;8,7;10,6;4,3;12,9;-6,7;7,2;12,1|
Umsatzindex nominal;Grundstücks- und Wohnungswesen;-3;-1,8;-22,7;12,4;2,7;13,4;9,5;11,9;-0,2;6,8;-2,3;6,8|
Umsatzindex nominal;Freiberufliche,wiss.u.techn.Dienstleistg.;15,5;11,3;8,6;5,2;19,3;6,8;7;12,2;14,7;6,8;13,5;3,1|
Umsatzindex nominal;Sonst.wirtschaftl.Dienstleistg.;15,7;12;14,9;15,7;27;10,8;9,3;12,8;12;10;13,7;15,9|
Umsatzindex nominal;Dienstleistungen zusammen;10,2;11,4;6,9;11,9;21,6;12,5;11,6;13,8;15,4;6,4;12,5;10,6|
Umsatzindex nominal;Dienstleistungen zusammen ohne L;11,7;12,8;10,1;11,9;23,7;12,4;11,8;14,1;17,3;6,4;14,1;11|
Umsatzindex real;Verkehr und Lagerei;2,7;7;2,2;4,6;20,1;6,9;4,6;9,6;14,4;3,5;12,1;7,7|
Umsatzindex real;Information und Kommunikation;5,4;8,7;5,3;9,3;9,2;7,2;9,4;3;11,6;-8;5,5;10|
Umsatzindex real;Grundstücks- und Wohnungswesen;-4,4;-3,3;-23,9;10,7;1;11,5;7,7;9,9;-2;4,8;-4,2;4,8|
Umsatzindex real;Freiberufliche,wiss.u.techn.Dienstleistg.;12,1;7,7;4,6;1,3;14,6;2,5;2,9;8;10,3;2,4;8,7;-1,6|
Umsatzindex real;Sonst.wirtschaftl.Dienstleistg.;12,9;8,8;12,5;12;23,5;6,3;4,2;7,5;6,5;3,9;7,4;9,2|
Umsatzindex real;Dienstleistungen zusammen;5,9;6,8;2,5;6,8;15,7;6,5;5,4;7,7;9,8;1,2;7,7;6,3|
Umsatzindex real;Dienstleistungen zusammen ohne L;7,1;7,9;5,4;6,4;17,3;5,9;5,2;7,4;11,2;0,9;9;6,5|
